id,pos,name,platform,publisher,genre,week,total,time,date,esrb,dateint,whenint,when,whenyear
3365,5, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,161528,829394,3,2009-03-13,T,39885,39864,2009-02-20,2009
3366,6, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,144860,1192952,3,2009-03-13,M,39885,39864,2009-02-20,2009
3367,7, Wii Play ( Wii ), Wii , Nintendo , Misc ,129526,22430072,120,2009-03-13,E,39885,39045,2006-11-24,2006
3368,8, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,124523,313279,9,2009-03-13,E,39885,39822,2009-01-09,2009
3369,9, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,120662,14679596,49,2009-03-13,E,39885,39542,2008-04-04,2008
3370,10, Musou Orochi Z ( PS3 ), PS3 , Tecmo Koei , Action ,107650,107650,1,2009-03-13,T,39885,39878,2009-03-06,2009
3371,11, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,82924,2461644,109,2009-03-13,E,39885,39122,2007-02-09,2007
3372,12, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,77832,957354,5,2009-03-13,T,39885,39850,2009-02-06,2009
3373,13, Street Fighter IV ( X360 ), X360 , Capcom , Fighting ,67526,815534,5,2009-03-13,T,39885,39850,2009-02-06,2009
3374,14, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,66994,18640157,148,2009-03-13,E,39885,38849,2006-05-12,2006
3375,15, Mario Kart DS ( DS ), DS , Nintendo , Racing ,60248,13732641,174,2009-03-13,E,39885,38667,2005-11-11,2005
3376,16, Major League Baseball 2K9 ( X360 ), X360 , Spike , Sports ,55704,172246,2,2009-03-13,E,39885,39871,2009-02-27,2009
3377,17, Tom Clancy's HAWX ( PS3 ), PS3 , Ubisoft , Action ,54754,133403,2,2009-03-13,T,39885,39871,2009-02-27,2009
3378,18, Tom Clancy's HAWX ( X360 ), X360 , Ubisoft , Action ,54058,143712,2,2009-03-13,T,39885,39871,2009-02-27,2009
3379,19, MLB 09: The Show ( PS3 ), PS3 , Sony Computer Entertainment , Sports ,53736,157205,2,2009-03-13,E,39885,39871,2009-02-27,2009
3380,20, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,48809,5061327,18,2009-03-13,M,39885,39759,2008-11-07,2008
3381,21, SOCOM: U.S. Navy SEALs Confrontation ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,44754,717492,22,2009-03-13,M,39885,39731,2008-10-10,2008
3382,22, MadWorld ( Wii ), Wii , Sega , Action ,41373,41373,1,2009-03-13,M,39885,39878,2009-03-06,2009
3383,23, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,40907,569879,15,2009-03-13,E,39885,39780,2008-11-28,2008
3384,24, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,38705,17069752,200,2009-03-13,E,39885,38485,2005-05-13,2005
3385,25, New Play Control! Pikmin ( Wii ), Wii , Nintendo , Strategy ,37894,199813,12,2009-03-13,E,39885,39801,2008-12-19,2008
3386,26, Picross 3D ( DS ), DS , Nintendo , Puzzle ,37316,37316,1,2009-03-13,E,39885,39878,2009-03-06,2009
3387,27, Halo 3 ( X360 ), X360 , Microsoft Game Studios , Shooter ,36967,9222790,77,2009-03-13,M,39885,39346,2007-09-21,2007
3388,28, Nintendogs ( DS ), DS , Nintendo , Simulation ,36028,22094898,204,2009-03-13,E,39885,38457,2005-04-15,2005
3389,29, Guitar Hero: World Tour ( Wii ), Wii , Activision , Misc ,35630,2686985,20,2009-03-13,T,39885,39745,2008-10-24,2008
3390,30, Mario & Luigi: Bowser's Inside Story ( DS ), DS , Nintendo , Role-Playing ,35224,406894,5,2009-03-13,E,39885,39850,2009-02-06,2009
3391,1, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,390124,1383440,3,2009-03-20,M,39892,39871,2009-02-27,2009
3392,2, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,379089,1564037,3,2009-03-20,M,39892,39871,2009-02-27,2009
3393,3, Wii Fit ( Wii ), Wii , Nintendo , Sports ,257026,17134992,69,2009-03-20,E,39892,39409,2007-11-23,2007
3394,4, Wii Sports ( Wii ), Wii , Nintendo , Sports ,249251,42764711,122,2009-03-20,E,39892,39038,2006-11-17,2006
3395,5, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,133478,14813074,50,2009-03-20,E,39892,39542,2008-04-04,2008
3396,6, Wii Play ( Wii ), Wii , Nintendo , Misc ,125557,22555629,121,2009-03-20,E,39892,39045,2006-11-24,2006
3397,7, Super Robot Taisen K ( DS ), DS , Namco Bandai Games , Strategy ,124383,124383,1,2009-03-20,T,39892,39885,2009-03-13,2009
3398,8, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,110581,110581,1,2009-03-20,M,39892,39885,2009-03-13,2009
3399,9, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,91441,2553085,110,2009-03-20,E,39892,39122,2007-02-09,2007
3400,10, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,91263,1284215,4,2009-03-20,M,39892,39864,2009-02-20,2009
3401,11, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,89798,919192,4,2009-03-20,T,39892,39864,2009-02-20,2009
3402,12, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,77230,390509,10,2009-03-20,E,39892,39822,2009-01-09,2009
3403,13, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,65495,1022849,6,2009-03-20,T,39892,39850,2009-02-06,2009
3404,14, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,64132,18704289,149,2009-03-20,E,39892,38849,2006-05-12,2006
3405,15, Mario Kart DS ( DS ), DS , Nintendo , Racing ,61274,13793915,175,2009-03-20,E,39892,38667,2005-11-11,2005
3406,16, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,56349,17126101,201,2009-03-20,E,39892,38485,2005-05-13,2005
3407,17, Street Fighter IV ( X360 ), X360 , Capcom , Fighting ,50336,865870,6,2009-03-20,T,39892,39850,2009-02-06,2009
3408,18, MLB 09: The Show ( PS3 ), PS3 , Sony Computer Entertainment , Sports ,48672,205877,3,2009-03-20,E,39892,39871,2009-02-27,2009
3409,19, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,44561,5105888,19,2009-03-20,M,39892,39759,2008-11-07,2008
3410,20, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,43147,613026,16,2009-03-20,E,39892,39780,2008-11-28,2008
3411,21, MadWorld ( Wii ), Wii , Sega , Action ,41524,82897,2,2009-03-20,M,39892,39878,2009-03-06,2009
3412,22, Resistance: Retribution ( PSP ), PSP , Sony Computer Entertainment , Shooter ,38963,54375,2,2009-03-20,M,39892,39878,2009-03-06,2009
3413,23, Nintendogs ( DS ), DS , Nintendo , Simulation ,37877,22132775,205,2009-03-20,E,39892,38457,2005-04-15,2005
3414,24, Major League Baseball 2K9 ( X360 ), X360 , Spike , Sports ,37489,209735,3,2009-03-20,E,39892,39871,2009-02-27,2009
3415,25, Musou Orochi Z ( PS3 ), PS3 , Tecmo Koei , Action ,35462,143112,2,2009-03-20,T,39892,39878,2009-03-06,2009
3416,26, LEGO Star Wars: The Complete Saga ( Wii ), Wii , LucasArts , Action ,33938,2354471,72,2009-03-20,E10+,39892,39388,2007-11-02,2007
3417,27, Halo 3 ( X360 ), X360 , Microsoft Game Studios , Shooter ,33537,9256327,78,2009-03-20,M,39892,39346,2007-09-21,2007
3418,28, Mario & Luigi: Bowser's Inside Story ( DS ), DS , Nintendo , Role-Playing ,33427,440321,6,2009-03-20,E,39892,39850,2009-02-06,2009
3419,29, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,32860,13483911,169,2009-03-20,E,39892,38709,2005-12-23,2005
3420,30, Tom Clancy's HAWX ( PS3 ), PS3 , Ubisoft , Action ,32707,166110,3,2009-03-20,T,39892,39871,2009-02-27,2009
3421,1, Pokemon Pt Giratina( DS ), DS , Nintendo , Role-Playing ,738955,3135372,29,2009-03-27,T,39899,39696,2008-09-05,2008
3422,2, Wii Fit ( Wii ), Wii , Nintendo , Sports ,237948,17372940,70,2009-03-27,E,39899,39409,2007-11-23,2007
3423,3, Wii Sports ( Wii ), Wii , Nintendo , Sports ,223667,42988378,123,2009-03-27,E,39899,39038,2006-11-17,2006
3424,4, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,217928,1601368,4,2009-03-27,M,39899,39871,2009-02-27,2009
3425,5, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,200803,1764840,4,2009-03-27,M,39899,39871,2009-02-27,2009
3426,6, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,133397,14946471,51,2009-03-27,E,39899,39542,2008-04-04,2008
3427,7, Wii Play ( Wii ), Wii , Nintendo , Misc ,117496,22673125,122,2009-03-27,E,39899,39045,2006-11-24,2006
3428,8, Kidou Senshi Gundam: Senjou no Kizuna Portable ( PSP ), PSP , Namco Bandai Games , Strategy ,85844,85844,1,2009-03-27,E,39899,39892,2009-03-20,2009
3429,9, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,80905,2633990,111,2009-03-27,E,39899,39122,2007-02-09,2007
3430,10, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,73915,184496,2,2009-03-27,M,39899,39885,2009-03-13,2009
3431,11, Legends of WrestleMania ( X360 ), X360 , THQ , Fighting ,67307,85496,2,2009-03-27,T,39899,39885,2009-03-13,2009
3432,12, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,66524,18770813,150,2009-03-27,E,39899,38849,2006-05-12,2006
3433,13, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,65452,1349667,5,2009-03-27,M,39899,39864,2009-02-20,2009
3434,14, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,63904,983096,5,2009-03-27,T,39899,39864,2009-02-20,2009
3435,15, Mario Kart DS ( DS ), DS , Nintendo , Racing ,60664,13854580,176,2009-03-27,E,39899,38667,2005-11-11,2005
3436,16, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,58016,448525,11,2009-03-27,E,39899,39822,2009-01-09,2009
3437,17, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,56948,1079797,7,2009-03-27,T,39899,39850,2009-02-06,2009
3438,18, Legends of WrestleMania ( PS3 ), PS3 , THQ , Fighting ,51026,72178,2,2009-03-27,T,39899,39885,2009-03-13,2009
3439,19, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,50007,5155895,20,2009-03-27,M,39899,39759,2008-11-07,2008
3440,20, Street Fighter IV ( X360 ), X360 , Capcom , Fighting ,48452,914322,7,2009-03-27,T,39899,39850,2009-02-06,2009
3441,21, Wanted: Weapons of Fate ( X360 ), X360 , Spike , Shooter ,47299,47299,1,2009-03-27,M,39899,39892,2009-03-20,2009
3442,22, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,45490,658516,17,2009-03-27,E,39899,39780,2008-11-28,2008
3443,23, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,44640,17170741,202,2009-03-27,E,39899,38485,2005-05-13,2005
3444,24, Nintendogs ( DS ), DS , Nintendo , Simulation ,38468,22171243,206,2009-03-27,E,39899,38457,2005-04-15,2005
3445,25, Disgaea 2: Dark Hero Days ( PSP ), PSP , Nippon Ichi Software , Role-Playing ,38212,38212,1,2009-03-27,T,39899,39892,2009-03-20,2009
3446,26, Resistance: Retribution ( PSP ), PSP , Sony Computer Entertainment , Shooter ,37566,91941,3,2009-03-27,M,39899,39878,2009-03-06,2009
3447,27, MLB 09: The Show ( PS3 ), PS3 , Sony Computer Entertainment , Sports ,37340,243217,4,2009-03-27,E,39899,39871,2009-02-27,2009
3448,28, Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009 ( DS ), DS , Konami Digital Entertainment , Action ,37006,37006,1,2009-03-27,E,39899,39892,2009-03-20,2009
3449,29, Final Fantasy Crystal Chronicles: Echoes of Time ( DS ), DS , Square Enix , Role-Playing ,36073,267322,9,2009-03-27,E10+,39899,39836,2009-01-23,2009
3450,30, Halo 3 ( X360 ), X360 , Microsoft Game Studios , Shooter ,35617,9291944,79,2009-03-27,M,39899,39346,2007-09-21,2007
3451,1, Wii Fit ( Wii ), Wii , Nintendo , Sports ,286398,17659338,71,2009-04-03,E,39906,39409,2007-11-23,2007
3452,2, Pokemon Pt Giratina( DS ), DS , Nintendo , Role-Playing ,259538,3394910,30,2009-04-03,T,39906,39696,2008-09-05,2008
3453,3, Wii Sports ( Wii ), Wii , Nintendo , Sports ,205580,43193958,124,2009-04-03,E,39906,39038,2006-11-17,2006
3454,4, Guitar Hero: Metallica ( X360 ), X360 , Activision , Misc ,194676,194676,1,2009-04-03,T,39906,39899,2009-03-27,2009
3455,5, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,142238,1743606,5,2009-04-03,M,39906,39871,2009-02-27,2009
3456,6, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,136982,1901822,5,2009-04-03,M,39906,39871,2009-02-27,2009
3457,7, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,133994,15080465,52,2009-04-03,E,39906,39542,2008-04-04,2008
3458,8, Guitar Hero: Metallica ( Wii ), Wii , Activision , Misc ,119665,119665,1,2009-04-03,T,39906,39899,2009-03-27,2009
3459,9, Wii Play ( Wii ), Wii , Nintendo , Misc ,105011,22778136,123,2009-04-03,E,39906,39045,2006-11-24,2006
3460,10, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,76018,2710008,112,2009-04-03,E,39906,39122,2007-02-09,2007
3461,11, Guitar Hero: Metallica ( PS3 ), PS3 , Activision , Misc ,68092,68092,1,2009-04-03,T,39906,39899,2009-03-27,2009
3462,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,67703,13922282,177,2009-04-03,E,39906,38667,2005-11-11,2005
3463,13, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,64900,18835713,151,2009-04-03,E,39906,38849,2006-05-12,2006
3464,14, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,63841,248337,3,2009-04-03,M,39906,39885,2009-03-13,2009
3465,15, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,50674,1033770,6,2009-04-03,T,39906,39864,2009-02-20,2009
3466,16, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,49919,1129716,8,2009-04-03,T,39906,39850,2009-02-06,2009
3467,17, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,49415,17220156,203,2009-04-03,E,39906,38485,2005-05-13,2005
3468,18, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,47989,1397656,6,2009-04-03,M,39906,39864,2009-02-20,2009
3469,19, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,47783,706299,18,2009-04-03,E,39906,39780,2008-11-28,2008
3470,20, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,47559,496084,12,2009-04-03,E,39906,39822,2009-01-09,2009
3471,21, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,46356,5202251,21,2009-04-03,M,39906,39759,2008-11-07,2008
3472,22, Vin Diesel: Wheelman ( X360 ), X360 , Ubisoft , Racing ,41156,71304,2,2009-04-03,T,39906,39892,2009-03-20,2009
3473,23, Street Fighter IV ( X360 ), X360 , Capcom , Fighting ,37591,951913,8,2009-04-03,T,39906,39850,2009-02-06,2009
3474,24, Nintendogs ( DS ), DS , Nintendo , Simulation ,36787,22208030,207,2009-04-03,E,39906,38457,2005-04-15,2005
3475,25, Club Penguin: Elite Penguin Force ( DS ), DS , Disney Interactive Studios , Adventure ,36635,937117,19,2009-04-03,E,39906,39773,2008-11-21,2008
3476,26, Vin Diesel: Wheelman ( PS3 ), PS3 , Ubisoft , Racing ,36561,63170,2,2009-04-03,T,39906,39892,2009-03-20,2009
3477,27, Guitar Hero: World Tour ( Wii ), Wii , Activision , Misc ,33748,2784196,23,2009-04-03,T,39906,39745,2008-10-24,2008
3478,28, Halo 3 ( X360 ), X360 , Microsoft Game Studios , Shooter ,33193,9325137,80,2009-04-03,M,39906,39346,2007-09-21,2007
3479,29, Kidou Senshi Gundam: Senjou no Kizuna Portable ( PSP ), PSP , Namco Bandai Games , Strategy ,32549,118393,2,2009-04-03,E,39906,39892,2009-03-20,2009
3480,30, Mario & Luigi: Bowser's Inside Story ( DS ), DS , Nintendo , Role-Playing ,30041,502392,8,2009-04-03,E,39906,39850,2009-02-06,2009
3481,1, Wii Fit ( Wii ), Wii , Nintendo , Sports ,248087,17907425,72,2009-04-10,E,39913,39409,2007-11-23,2007
3482,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,221118,43415076,125,2009-04-10,E,39913,39038,2006-11-17,2006
3483,3, Pokemon Pt Giratina( DS ), DS , Nintendo , Role-Playing ,215644,3610554,31,2009-04-10,T,39913,39696,2008-09-05,2008
3484,4, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,134720,15215185,53,2009-04-10,E,39913,39542,2008-04-04,2008
3485,5, The Godfather II ( X360 ), X360 , Electronic Arts , Adventure ,121410,121410,1,2009-04-10,M,39913,39906,2009-04-03,2009
3486,6, The Godfather II ( PS3 ), PS3 , Electronic Arts , Adventure ,108970,108970,1,2009-04-10,M,39913,39906,2009-04-03,2009
3487,7, Wii Play ( Wii ), Wii , Nintendo , Misc ,105316,22883452,124,2009-04-10,E,39913,39045,2006-11-24,2006
3488,8, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,93750,1837356,6,2009-04-10,M,39913,39871,2009-02-27,2009
3489,9, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,91408,1993230,6,2009-04-10,M,39913,39871,2009-02-27,2009
3490,10, Sengoku Basara: Battle Heroes ( PSP ), PSP , Capcom , Action ,85918,85918,1,2009-04-10,E10+,39913,39906,2009-04-03,2009
3491,11, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,81289,18917001,152,2009-04-10,E,39913,38849,2006-05-12,2006
3492,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,78164,14000446,178,2009-04-10,E,39913,38667,2005-11-11,2005
3493,13, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,76973,2786981,113,2009-04-10,E,39913,39122,2007-02-09,2007
3494,14, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,60405,308742,4,2009-04-10,M,39913,39885,2009-03-13,2009
3495,15, Rhythm Heaven ( DS ), DS , Nintendo , Misc ,58775,1713237,37,2009-04-10,E,39913,39654,2008-07-25,2008
3496,16, Guitar Hero: Metallica ( X360 ), X360 , Activision , Misc ,49444,244120,2,2009-04-10,T,39913,39899,2009-03-27,2009
3497,17, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,47328,17267484,204,2009-04-10,E,39913,38485,2005-05-13,2005
3498,18, Mario & Sonic at the Olympic Games ( Wii ), Wii , Nintendo , Sports ,45756,6821721,75,2009-04-10,E,39913,39388,2007-11-02,2007
3499,19, Club Penguin: Elite Penguin Force ( DS ), DS , Disney Interactive Studios , Adventure ,44717,981834,20,2009-04-10,E,39913,39773,2008-11-21,2008
3500,20, Nintendogs ( DS ), DS , Nintendo , Simulation ,43235,22251265,208,2009-04-10,E,39913,38457,2005-04-15,2005
3501,21, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,42747,5244998,22,2009-04-10,M,39913,39759,2008-11-07,2008
3502,22, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,42451,538535,13,2009-04-10,E,39913,39822,2009-01-09,2009
3503,23, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,41704,748003,19,2009-04-10,E,39913,39780,2008-11-28,2008
3504,24, The Chronicles of Riddick: Assault on Dark Athena ( X360 ), X360 , Atari , Shooter ,39975,39975,1,2009-04-10,M,39913,39906,2009-04-03,2009
3505,25, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,39517,1169233,9,2009-04-10,T,39913,39850,2009-02-06,2009
3506,26, Mario & Sonic at the Olympic Games ( DS ), DS , Nintendo , Sports ,39489,4077024,65,2009-04-10,E,39913,39458,2008-01-11,2008
3507,27, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,38991,1436647,7,2009-04-10,M,39913,39864,2009-02-20,2009
3508,28, Guitar Hero: Metallica ( Wii ), Wii , Activision , Misc ,38814,158479,2,2009-04-10,T,39913,39899,2009-03-27,2009
3509,29, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,35935,1069705,7,2009-04-10,T,39913,39864,2009-02-20,2009
3510,30, Guitar Hero: Aerosmith ( X360 ), X360 , Activision , Misc ,35660,683056,42,2009-04-10,T,39913,39619,2008-06-20,2008
3511,1, Wii Fit ( Wii ), Wii , Nintendo , Sports ,240260,18147685,73,2009-04-17,E,39920,39409,2007-11-23,2007
3512,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,202327,43617403,126,2009-04-17,E,39920,39038,2006-11-17,2006
3513,3, Pokemon Mystery Dungeon: Explorers of Sky( DS ), DS , Nintendo , Role-Playing ,140945,140945,1,2009-04-17,T,39920,39913,2009-04-10,2009
3514,4, Pokemon Pt Giratina( DS ), DS , Nintendo , Role-Playing ,136849,3747403,32,2009-04-17,T,39920,39696,2008-09-05,2008
3515,5, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,124161,15339346,54,2009-04-17,E,39920,39542,2008-04-04,2008
3516,6, Wii Play ( Wii ), Wii , Nintendo , Misc ,95737,22979189,125,2009-04-17,E,39920,39045,2006-11-24,2006
3517,7, The Godfather II ( X360 ), X360 , Electronic Arts , Adventure ,80826,202236,2,2009-04-17,M,39920,39906,2009-04-03,2009
3518,8, The Godfather II ( PS3 ), PS3 , Electronic Arts , Adventure ,68105,177075,2,2009-04-17,M,39920,39906,2009-04-03,2009
3519,9, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,67045,2060275,7,2009-04-17,M,39920,39871,2009-02-27,2009
3520,10, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,64622,18981623,153,2009-04-17,E,39920,38849,2006-05-12,2006
3521,11, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,64242,1901598,7,2009-04-17,M,39920,39871,2009-02-27,2009
3522,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,61701,14062147,179,2009-04-17,E,39920,38667,2005-11-11,2005
3523,13, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,59577,2846558,114,2009-04-17,E,39920,39122,2007-02-09,2007
3524,14, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,49930,358672,5,2009-04-17,M,39920,39885,2009-03-13,2009
3525,15, New Play Control! Mario Power Tennis ( Wii ), Wii , Nintendo , Sports ,38467,577002,14,2009-04-17,E,39920,39822,2009-01-09,2009
3526,16, Rhythm Heaven ( DS ), DS , Nintendo , Misc ,37310,1750547,38,2009-04-17,E,39920,39654,2008-07-25,2008
3527,17, My Fitness Coach ( Wii ), Wii , Ubisoft , Sports ,36604,784607,20,2009-04-17,E,39920,39780,2008-11-28,2008
3528,18, Club Penguin: Elite Penguin Force ( DS ), DS , Disney Interactive Studios , Adventure ,36436,1018270,21,2009-04-17,E,39920,39773,2008-11-21,2008
3529,19, Nintendogs ( DS ), DS , Nintendo , Simulation ,36338,22287603,209,2009-04-17,E,39920,38457,2005-04-15,2005
3530,20, Brain Age: Train Your Brain in Minutes a Day ( DS ), DS , Nintendo , Misc ,35586,17303070,205,2009-04-17,E,39920,38485,2005-05-13,2005
3531,21, Call of Duty: World at War ( X360 ), X360 , Activision , Shooter ,33403,5278401,23,2009-04-17,M,39920,39759,2008-11-07,2008
3532,22, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,33219,1469866,8,2009-04-17,M,39920,39864,2009-02-20,2009
3533,23, Mario & Sonic at the Olympic Games ( DS ), DS , Nintendo , Sports ,32491,4109515,66,2009-04-17,E,39920,39458,2008-01-11,2008
3534,24, Mario & Sonic at the Olympic Games ( Wii ), Wii , Nintendo , Sports ,31558,6853279,76,2009-04-17,E,39920,39388,2007-11-02,2007
3535,25, Guitar Hero: Metallica ( X360 ), X360 , Activision , Misc ,30415,274535,3,2009-04-17,T,39920,39899,2009-03-27,2009
3536,26, Halo 3 ( X360 ), X360 , Microsoft Game Studios , Shooter ,28334,9383153,82,2009-04-17,M,39920,39346,2007-09-21,2007
3537,27, Brain Age 2: More Training in Minutes a Day ( DS ), DS , Nintendo , Misc ,28254,13610264,173,2009-04-17,E,39920,38709,2005-12-23,2005
3538,28, Halo Wars ( X360 ), X360 , Microsoft Game Studios , Strategy ,28108,1097813,8,2009-04-17,T,39920,39864,2009-02-20,2009
3539,29, Sengoku Basara: Battle Heroes ( PSP ), PSP , Capcom , Action ,27442,113360,2,2009-04-17,E10+,39920,39906,2009-04-03,2009
3540,30, Street Fighter IV ( PS3 ), PS3 , Capcom , Fighting ,26419,1195652,10,2009-04-17,T,39920,39850,2009-02-06,2009
3541,1, Wii Fit ( Wii ), Wii , Nintendo , Sports ,215731,18363416,74,2009-04-24,E,39927,39409,2007-11-23,2007
3542,2, Wii Sports ( Wii ), Wii , Nintendo , Sports ,176533,43793936,127,2009-04-24,E,39927,39038,2006-11-17,2006
3543,3, Monster Hunter G ( Wii ), Wii , Capcom , Role-Playing ,137305,137305,1,2009-04-24,T,39927,39920,2009-04-17,2009
3544,4, Pokemon Pt Giratina( DS ), DS , Nintendo , Role-Playing ,108805,3856208,33,2009-04-24,T,39927,39696,2008-09-05,2008
3545,5, Mario Kart Wii ( Wii ), Wii , Nintendo , Racing ,107238,15446584,55,2009-04-24,E,39927,39542,2008-04-04,2008
3546,6, Wii Play ( Wii ), Wii , Nintendo , Misc ,81839,23061028,126,2009-04-24,E,39927,39045,2006-11-24,2006
3547,7, Killzone 2 ( PS3 ), PS3 , Sony Computer Entertainment , Shooter ,71814,1541680,9,2009-04-24,M,39927,39864,2009-02-20,2009
3548,8, New Super Mario Bros. ( DS ), DS , Nintendo , Platform ,57765,19039388,154,2009-04-24,E,39927,38849,2006-05-12,2006
3549,9, Resident Evil 5 ( PS3 ), PS3 , Capcom , Action ,54767,2115042,8,2009-04-24,M,39927,39871,2009-02-27,2009
3550,10, Pokemon Mystery Dungeon: Explorers of Sky( DS ), DS , Nintendo , Role-Playing ,54450,195395,2,2009-04-24,T,39927,39913,2009-04-10,2009
3551,11, The Godfather II ( X360 ), X360 , Electronic Arts , Adventure ,52255,254491,3,2009-04-24,M,39927,39906,2009-04-03,2009
3552,12, Mario Kart DS ( DS ), DS , Nintendo , Racing ,50104,14112251,180,2009-04-24,E,39927,38667,2005-11-11,2005
3553,13, Professor Layton and the Curious Village ( DS ), DS , Nintendo , Adventure ,49052,2895610,115,2009-04-24,E,39927,39122,2007-02-09,2007
3554,14, Resident Evil 5 ( X360 ), X360 , Capcom , Action ,45773,1947371,8,2009-04-24,M,39927,39871,2009-02-27,2009
3555,15, The Godfather II ( PS3 ), PS3 , Electronic Arts , Adventure ,37897,214972,3,2009-04-24,M,39927,39906,2009-04-03,2009
3556,16, Grand Theft Auto: Chinatown Wars ( DS ), DS , CyberFront , Adventure ,35201,393873,6,2009-04-24,M,39927,39885,2009-03-13,2009
