Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
27, Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,45314,16425818,122,2009-01-16,T,39829 
28, Link's Crossbow Training , Wii , Nintendo , Shooter ,44483,3436288,61,2009-01-16,T,39829 
29, Rayman Raving Rabbids: TV Party , Wii , Ubisoft , Misc ,43539,1090462,10,2009-01-16,E10+,39829 
30, Super Mario Galaxy , Wii , Nintendo , Platform ,41648,7226291,64,2009-01-16,E,39829 
1, Wii Fit , Wii , Nintendo , Sports ,468275,14637108,61,2009-01-23,E,39836 
2, Wii Sports , Wii , Nintendo , Sports ,408550,40224384,114,2009-01-23,E,39836 
3, Wii Play , Wii , Nintendo , Misc ,196087,21302602,113,2009-01-23,E,39836 
4, Mario Kart Wii , Wii , Nintendo , Racing ,170586,13755252,42,2009-01-23,E,39836 
5, Skate 2 , X360 , Electronic Arts , Sports ,163593,163593,1,2009-01-23,T,39836 
6, Call of Duty: World at War , X360 , Activision , Shooter ,98491,4618397,11,2009-01-23,M,39836 
7, Left 4 Dead , X360 , Electronic Arts , Shooter ,96247,1666105,10,2009-01-23,M,39836 
8, New Super Mario Bros. , DS , Nintendo , Platform ,79629,18146028,141,2009-01-23,E,39836 
9, Skate 2 , PS3 , Electronic Arts , Sports ,73402,73402,1,2009-01-23,T,39836 
10, Mario Kart DS , DS , Nintendo , Racing ,69845,13267675,167,2009-01-23,E,39836 
11, Call of Duty: World at War , PS3 , Activision , Shooter ,69679,2809881,11,2009-01-23,M,39836 
12, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,66699,16737036,193,2009-01-23,E,39836 
13, The Lord of the Rings: Conquest , X360 , Electronic Arts , Action ,63287,171667,2,2009-01-23,T,39836 
14, My Fitness Coach , Wii , Ubisoft , Sports ,56031,250159,8,2009-01-23,E,39836 
15, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,52240,13200446,161,2009-01-23,E,39836 
16, The Lord of the Rings: Conquest , PS3 , Electronic Arts , Action ,49385,129941,2,2009-01-23,T,39836 
17, Guitar Hero: World Tour , Wii , Activision , Misc ,48902,2362733,13,2009-01-23,T,39836 
18, Nintendogs , DS , Nintendo , Simulation ,48588,21809473,197,2009-01-23,E,39836 
19, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,46626,2873026,34,2009-01-23,E10+,39836 
20, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,46046,4412540,12,2009-01-23,M,39836 
21, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,44492,8065597,52,2009-01-23,T,39836 
22, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,44084,2664436,10,2009-01-23,E,39836 
23, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,43239,1973400,13,2009-01-23,E,39836 
24, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,40788,1991627,102,2009-01-23,E,39836 
25, Kung Fu Panda , X360 , Activision , Platform ,38956,2478676,34,2009-01-23,E,39836 
26, Super Mario Galaxy , Wii , Nintendo , Platform ,38924,7265215,65,2009-01-23,E,39836 
27, Link's Crossbow Training , Wii , Nintendo , Shooter ,38151,3474439,62,2009-01-23,T,39836 
28, Fallout 3 , PS3 , Bethesda Softworks , Role-Playing ,36824,1230927,13,2009-01-23,M,39836 
29, Rayman Raving Rabbids: TV Party , Wii , Ubisoft , Misc ,36176,1126638,11,2009-01-23,E10+,39836 
30, Pokemon Diamond/Pokemon Pearl, DS , Nintendo , Role-Playing ,35728,16461546,123,2009-01-23,T,39836 
1, Wii Sports , Wii , Nintendo , Sports ,435612,40659996,115,2009-01-30,E,39843 
2, Wii Fit , Wii , Nintendo , Sports ,417335,15054443,62,2009-01-30,E,39843 
3, Tales of the World: Radiant Mythology 2 , PSP , Namco Bandai Games , Role-Playing ,209698,209698,1,2009-01-30,T,39843 
4, Wii Play , Wii , Nintendo , Misc ,190144,21492746,114,2009-01-30,E,39843 
5, Mario Kart Wii , Wii , Nintendo , Racing ,154601,13909853,43,2009-01-30,E,39843 
6, Final Fantasy Crystal Chronicles: Echoes of Time , DS , Square Enix , Role-Playing ,118927,118927,1,2009-01-30,E10+,39843 
7, PES 2009: Pro Evolution Soccer , PSP , Unknown , Sports ,116762, NA ,5,2009-01-30,E,39843 
8, Skate 2 , X360 , Electronic Arts , Sports ,99410,263003,2,2009-01-30,T,39843 
9, Call of Duty: World at War , X360 , Activision , Shooter ,78945,4697342,12,2009-01-30,M,39843 
10, Left 4 Dead , X360 , Electronic Arts , Shooter ,76111,1742216,11,2009-01-30,M,39843 
11, New Super Mario Bros. , DS , Nintendo , Platform ,73070,18219098,142,2009-01-30,E,39843 
12, Mario Kart DS , DS , Nintendo , Racing ,69688,13337364,168,2009-01-30,E,39843 
13, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,62958,16799994,194,2009-01-30,E,39843 
14, Call of Duty: World at War , PS3 , Activision , Shooter ,59095,2868976,12,2009-01-30,M,39843 
15, My Fitness Coach , Wii , Ubisoft , Sports ,56061,306220,9,2009-01-30,E,39843 
16, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,55704,2047331,103,2009-01-30,E,39843 
17, Skate 2 , PS3 , Electronic Arts , Sports ,49205,122607,2,2009-01-30,T,39843 
18, Guitar Hero: World Tour , Wii , Activision , Misc ,48130,2410863,14,2009-01-30,T,39843 
19, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,47649,2920675,35,2009-01-30,E10+,39843 
20, Nintendogs , DS , Nintendo , Simulation ,47495,21856968,198,2009-01-30,E,39843 
21, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,46069,13246515,162,2009-01-30,E,39843 
22, Kung Fu Panda , X360 , Activision , Platform ,44120,2522796,35,2009-01-30,E,39843 
23, Afro Samurai , X360 , Atari , Action ,41261,41261,1,2009-01-30,M,39843 
24, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,40876,8106473,53,2009-01-30,T,39843 
25, The Lord of the Rings: Conquest , X360 , Electronic Arts , Action ,39853,211520,3,2009-01-30,T,39843 
26, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,39594,2704030,11,2009-01-30,E,39843 
27, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,39046,4451586,13,2009-01-30,M,39843 
28, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,38313,2011713,14,2009-01-30,E,39843 
29, Super Mario Galaxy , Wii , Nintendo , Platform ,36532,7301747,66,2009-01-30,E,39843 
30, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,33834,2103843,65,2009-01-30,E10+,39843 
1, Wii Fit , Wii , Nintendo , Sports ,366535,15420978,63,2009-02-06,E,39850 
2, Wii Sports , Wii , Nintendo , Sports ,348629,41008625,116,2009-02-06,E,39850 
3, Wii Play , Wii , Nintendo , Misc ,190869,21683615,115,2009-02-06,E,39850 
4, Mario Kart Wii , Wii , Nintendo , Racing ,141690,14051543,44,2009-02-06,E,39850 
5, New Super Mario Bros. , DS , Nintendo , Platform ,75098,18294196,143,2009-02-06,E,39850 
6, Mario Kart DS , DS , Nintendo , Racing ,71404,13408767,169,2009-02-06,E,39850 
7, Call of Duty: World at War , X360 , Activision , Shooter ,69698,4767040,13,2009-02-06,M,39850 
8, Skate 2 , X360 , Electronic Arts , Sports ,63219,326222,3,2009-02-06,T,39850 
9, Left 4 Dead , X360 , Electronic Arts , Shooter ,62579,1804795,12,2009-02-06,M,39850 
10, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,53084,16853078,195,2009-02-06,E,39850 
11, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,52754,2100085,104,2009-02-06,E,39850 
12, Guitar Hero: World Tour , Wii , Activision , Misc ,51087,2461950,15,2009-02-06,T,39850 
13, Call of Duty: World at War , PS3 , Activision , Shooter ,50950,2919926,13,2009-02-06,M,39850 
14, PES 2009: Pro Evolution Soccer , PSP , Unknown , Sports ,48493, NA ,5,2009-02-06,E,39850 
15, Nintendogs , DS , Nintendo , Simulation ,45725,21902693,199,2009-02-06,E,39850 
16, Tales of the World: Radiant Mythology 2 , PSP , Namco Bandai Games , Role-Playing ,45554,255252,2,2009-02-06,T,39850 
17, Mystery Case Files: MillionHeir , DS , Nintendo , Adventure ,44982,536252,22,2009-02-06,E,39850 
18, My Fitness Coach , Wii , Ubisoft , Sports ,42573,348793,10,2009-02-06,E,39850 
19, Demon's Souls , PS3 , Namco Bandai Games , Role-Playing ,38966,38966,1,2009-02-06,M,39850 
20, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,37863,13284378,163,2009-02-06,E,39850 
21, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,37815,8144288,54,2009-02-06,T,39850 
22, Final Fantasy Crystal Chronicles: Echoes of Time , DS , Square Enix , Role-Playing ,37516,156443,2,2009-02-06,E10+,39850 
23, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,36726,2140569,66,2009-02-06,E10+,39850 
24, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,36336,2957011,36,2009-02-06,E10+,39850 
25, Kung Fu Panda , X360 , Activision , Platform ,34619,2557415,36,2009-02-06,E,39850 
26, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,33585,2737615,12,2009-02-06,E,39850 
27, LittleBigPlanet , PS3 , Sony Computer Entertainment , Platform ,33319,2045032,15,2009-02-06,E,39850 
28, Gears of War 2 , X360 , Microsoft Game Studios , Shooter ,32503,4484089,14,2009-02-06,M,39850 
29, Super Mario Galaxy , Wii , Nintendo , Platform ,32317,7334064,67,2009-02-06,E,39850 
30, Deca Sports , Wii , Hudson Soft , Sports ,32236,1622266,47,2009-02-06,E,39850 
1, Wii Sports , Wii , Nintendo , Sports ,312570,41321195,117,2009-02-13,E,39857 
2, Wii Fit , Wii , Nintendo , Sports ,287975,15708953,64,2009-02-13,E,39857 
3, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,212611,212611,1,2009-02-13,E,39857 
4, Wii Play , Wii , Nintendo , Misc ,163618,21847233,116,2009-02-13,E,39857 
5, Mario Kart Wii , Wii , Nintendo , Racing ,127134,14178677,45,2009-02-13,E,39857 
6, F.E.A.R. 2: Project Origin , X360 , CyberFront , Shooter ,110722,110722,1,2009-02-13,M,39857 
7, Street Fighter IV , PS3 , Capcom , Fighting ,83391,83391,1,2009-02-13,T,39857 
8, New Super Mario Bros. , DS , Nintendo , Platform ,76641,18370837,144,2009-02-13,E,39857 
9, F.E.A.R. 2: Project Origin , PS3 , CyberFront , Shooter ,73066,73066,1,2009-02-13,M,39857 
10, Mario Kart DS , DS , Nintendo , Racing ,69090,13477857,170,2009-02-13,E,39857 
11, Call of Duty: World at War , X360 , Activision , Shooter ,62677,4829717,14,2009-02-13,M,39857 
12, Left 4 Dead , X360 , Electronic Arts , Shooter ,55456,1860251,13,2009-02-13,M,39857 
13, Mystery Case Files: MillionHeir , DS , Nintendo , Adventure ,54404,590656,23,2009-02-13,E,39857 
14, Skate 2 , X360 , Electronic Arts , Sports ,52834,379056,4,2009-02-13,T,39857 
15, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,51185,2151270,105,2009-02-13,E,39857 
16, My Fitness Coach , Wii , Ubisoft , Sports ,49188,397981,11,2009-02-13,E,39857 
17, Guitar Hero: World Tour , Wii , Activision , Misc ,48869,2510819,16,2009-02-13,T,39857 
18, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,48853,16901931,196,2009-02-13,E,39857 
19, Call of Duty: World at War , PS3 , Activision , Shooter ,46841,2966767,14,2009-02-13,M,39857 
20, Nintendogs , DS , Nintendo , Simulation ,41285,21943978,200,2009-02-13,E,39857 
21, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,38280,13322658,164,2009-02-13,E,39857 
22, Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V , PSP , Namco Bandai Games , Strategy ,38033,38033,1,2009-02-13,T,39857 
23, Street Fighter IV , X360 , Capcom , Fighting ,37174,37174,1,2009-02-13,T,39857 
24, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,36357,2176926,67,2009-02-13,E10+,39857 
25, NASCAR Kart Racing , Wii , Electronic Arts , Racing ,35238,35238,1,2009-02-13,E,39857 
26, PES 2009: Pro Evolution Soccer , PSP , Unknown , Sports ,34535, NA ,5,2009-02-13,E,39857 
